global_step=248, episodic_return=[0.442]
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-40.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-40.mp4
global_step=5056, episodic_return=[0.91]
global_step=5068, episodic_return=[0.937]
global_step=5080, episodic_return=[0.874]
global_step=5088, episodic_return=[0.928]
global_step=5092, episodic_return=[0.946]
global_step=5100, episodic_return=[0.892]
global_step=5104, episodic_return=[0.946]
global_step=5112, episodic_return=[0.946]
global_step=5120, episodic_return=[0.955]
SPS:  333
global_step=5124, episodic_return=[0.955]
global_step=5140, episodic_return=[0.892]
global_step=5148, episodic_return=[0.946]
global_step=5152, episodic_return=[0.91]
global_step=5164, episodic_return=[0.946]
global_step=5168, episodic_return=[0.955]
global_step=5172, episodic_return=[0.955]
global_step=5176, episodic_return=[0.946]
global_step=5188, episodic_return=[0.946]
global_step=5196, episodic_return=[0.955]
global_step=5200, episodic_return=[0.937]
global_step=5216, episodic_return=[0.937]
global_step=5220, episodic_return=[0.946]
global_step=5224, episodic_return=[0.946]
global_step=5240, episodic_return=[0.946]
global_step=5244, episodic_return=[0.946]
global_step=5248, episodic_return=[0.946]
global_step=5260, episodic_return=[0.955]
global_step=5264, episodic_return=[0.955]
global_step=5272, episodic_return=[0.946]
global_step=5284, episodic_return=[0.955]
global_step=5296, episodic_return=[0.946]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-50.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-50.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-50.mp4
global_step=5304, episodic_return=[0.955]
global_step=5320, episodic_return=[0.946]
global_step=5328, episodic_return=[0.946]
global_step=5336, episodic_return=[0.928]
global_step=5352, episodic_return=[0.928]
global_step=5356, episodic_return=[0.937]
global_step=5372, episodic_return=[0.955]
global_step=5376, episodic_return=[0.91]
global_step=5380, episodic_return=[0.946]
global_step=5400, episodic_return=[0.946]
global_step=5404, episodic_return=[0.928]
global_step=5424, episodic_return=[0.946]
global_step=5428, episodic_return=[0.892]
global_step=5432, episodic_return=[0.928]
global_step=5444, episodic_return=[0.955]
global_step=5448, episodic_return=[0.946]
global_step=5452, episodic_return=[0.946]
global_step=5456, episodic_return=[0.946]
global_step=5468, episodic_return=[0.955]
global_step=5480, episodic_return=[0.937]
global_step=5484, episodic_return=[0.937]
global_step=5488, episodic_return=[0.955]
global_step=5504, episodic_return=[0.919]
global_step=5512, episodic_return=[0.937]
global_step=5516, episodic_return=[0.937]
global_step=5520, episodic_return=[0.91]
global_step=5532, episodic_return=[0.937]
global_step=5544, episodic_return=[0.946]
global_step=5548, episodic_return=[0.928]
global_step=5552, episodic_return=[0.91]
global_step=5556, episodic_return=[0.946]
global_step=5568, episodic_return=[0.946]
global_step=5572, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-60.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-60.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-60.mp4
global_step=5576, episodic_return=[0.937]
global_step=5596, episodic_return=[0.955]
global_step=5608, episodic_return=[0.883]
global_step=5616, episodic_return=[0.892]
global_step=5628, episodic_return=[0.928]
SPS:  329
global_step=5644, episodic_return=[0.919]
global_step=5652, episodic_return=[0.919]
global_step=5660, episodic_return=[0.928]
global_step=5672, episodic_return=[0.937]
global_step=5676, episodic_return=[0.946]
global_step=5684, episodic_return=[0.946]
global_step=5696, episodic_return=[0.955]
global_step=5708, episodic_return=[0.946]
global_step=5716, episodic_return=[0.955]
global_step=5720, episodic_return=[0.946]
global_step=5736, episodic_return=[0.937]
global_step=5740, episodic_return=[0.946]
global_step=5756, episodic_return=[0.955]
global_step=5760, episodic_return=[0.955]
global_step=5780, episodic_return=[0.955]
global_step=5788, episodic_return=[0.928]
global_step=5800, episodic_return=[0.955]
global_step=5808, episodic_return=[0.937]
global_step=5816, episodic_return=[0.937]
global_step=5820, episodic_return=[0.955]
global_step=5828, episodic_return=[0.955]
global_step=5840, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-70.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-70.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-70.mp4
global_step=5852, episodic_return=[0.919]
global_step=5860, episodic_return=[0.955]
global_step=5880, episodic_return=[0.937]
global_step=5884, episodic_return=[0.928]
global_step=5904, episodic_return=[0.955]
global_step=5908, episodic_return=[0.937]
global_step=5928, episodic_return=[0.955]
global_step=5936, episodic_return=[0.928]
global_step=5940, episodic_return=[0.928]
global_step=5948, episodic_return=[0.955]
global_step=5956, episodic_return=[0.955]
global_step=5964, episodic_return=[0.946]
global_step=5980, episodic_return=[0.928]
global_step=5984, episodic_return=[0.955]
global_step=6004, episodic_return=[0.91]
global_step=6008, episodic_return=[0.937]
global_step=6012, episodic_return=[0.937]
global_step=6016, episodic_return=[0.919]
global_step=6028, episodic_return=[0.946]
global_step=6032, episodic_return=[0.955]
global_step=6036, episodic_return=[0.955]
global_step=6052, episodic_return=[0.946]
global_step=6056, episodic_return=[0.937]
global_step=6060, episodic_return=[0.937]
global_step=6076, episodic_return=[0.955]
global_step=6080, episodic_return=[0.937]
global_step=6084, episodic_return=[0.946]
global_step=6088, episodic_return=[0.937]
global_step=6096, episodic_return=[0.955]
global_step=6104, episodic_return=[0.955]
global_step=6108, episodic_return=[0.955]
global_step=6116, episodic_return=[0.955]
global_step=6120, episodic_return=[0.91]
global_step=6124, episodic_return=[0.955]
global_step=6128, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-80.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-80.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-80.mp4
global_step=6140, episodic_return=[0.955]
SPS:  325
global_step=6148, episodic_return=[0.955]
global_step=6164, episodic_return=[0.946]
global_step=6168, episodic_return=[0.955]
global_step=6184, episodic_return=[0.955]
global_step=6188, episodic_return=[0.955]
global_step=6192, episodic_return=[0.946]
global_step=6204, episodic_return=[0.955]
global_step=6212, episodic_return=[0.955]
global_step=6220, episodic_return=[0.928]
global_step=6224, episodic_return=[0.955]
global_step=6232, episodic_return=[0.955]
global_step=6240, episodic_return=[0.937]
global_step=6248, episodic_return=[0.946]
global_step=6252, episodic_return=[0.955]
global_step=6268, episodic_return=[0.955]
global_step=6272, episodic_return=[0.946]
global_step=6288, episodic_return=[0.955]
global_step=6292, episodic_return=[0.955]
global_step=6296, episodic_return=[0.946]
global_step=6308, episodic_return=[0.91]
global_step=6316, episodic_return=[0.955]
global_step=6320, episodic_return=[0.937]
t:   0%|                                                                                                         | 0/7 [00:00<?, ?it/s, now=None]
global_step=6332, episodic_return=[0.946]
global_step=6336, episodic_return=[0.955]
global_step=6340, episodic_return=[0.955]
global_step=6344, episodic_return=[0.874]
global_step=6356, episodic_return=[0.955]
global_step=6360, episodic_return=[0.937]
global_step=6364, episodic_return=[0.955]
global_step=6376, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-90.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-90.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-90.mp4
global_step=6380, episodic_return=[0.955]
global_step=6384, episodic_return=[0.955]
global_step=6396, episodic_return=[0.955]
global_step=6400, episodic_return=[0.955]
global_step=6404, episodic_return=[0.955]
global_step=6416, episodic_return=[0.955]
global_step=6420, episodic_return=[0.955]
global_step=6428, episodic_return=[0.946]
global_step=6436, episodic_return=[0.955]
global_step=6440, episodic_return=[0.955]
global_step=6444, episodic_return=[0.91]
global_step=6448, episodic_return=[0.955]
global_step=6460, episodic_return=[0.955]
global_step=6468, episodic_return=[0.946]
global_step=6472, episodic_return=[0.946]
global_step=6480, episodic_return=[0.955]
global_step=6488, episodic_return=[0.937]
global_step=6492, episodic_return=[0.955]
global_step=6512, episodic_return=[0.946]
global_step=6520, episodic_return=[0.937]
global_step=6532, episodic_return=[0.955]
global_step=6540, episodic_return=[0.937]
global_step=6552, episodic_return=[0.955]
global_step=6556, episodic_return=[0.946]
global_step=6560, episodic_return=[0.955]
global_step=6564, episodic_return=[0.946]
global_step=6576, episodic_return=[0.955]
global_step=6584, episodic_return=[0.928]
global_step=6588, episodic_return=[0.937]
global_step=6600, episodic_return=[0.946]
global_step=6608, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-100.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-100.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-100.mp4
global_step=6612, episodic_return=[0.937]
global_step=6624, episodic_return=[0.946]
global_step=6628, episodic_return=[0.955]
global_step=6636, episodic_return=[0.946]
global_step=6644, episodic_return=[0.919]
global_step=6648, episodic_return=[0.946]
global_step=6652, episodic_return=[0.946]
SPS:  321
global_step=6660, episodic_return=[0.946]
global_step=6664, episodic_return=[0.955]
global_step=6668, episodic_return=[0.955]
global_step=6684, episodic_return=[0.928]
global_step=6688, episodic_return=[0.937]
global_step=6696, episodic_return=[0.928]
global_step=6704, episodic_return=[0.955]
global_step=6708, episodic_return=[0.955]
global_step=6712, episodic_return=[0.946]
global_step=6716, episodic_return=[0.955]
global_step=6732, episodic_return=[0.955]
global_step=6740, episodic_return=[0.946]
global_step=6752, episodic_return=[0.955]
global_step=6756, episodic_return=[0.946]
global_step=6760, episodic_return=[0.955]
global_step=6772, episodic_return=[0.955]
global_step=6780, episodic_return=[0.955]
global_step=6788, episodic_return=[0.928]
global_step=6792, episodic_return=[0.955]
global_step=6800, episodic_return=[0.955]
global_step=6812, episodic_return=[0.955]
global_step=6816, episodic_return=[0.937]
global_step=6820, episodic_return=[0.955]
global_step=6836, episodic_return=[0.955]
global_step=6844, episodic_return=[0.946]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-110.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-110.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-110.mp4
global_step=6856, episodic_return=[0.955]
global_step=6864, episodic_return=[0.955]
global_step=6876, episodic_return=[0.955]
global_step=6884, episodic_return=[0.955]
global_step=6896, episodic_return=[0.955]
global_step=6908, episodic_return=[0.946]
global_step=6916, episodic_return=[0.955]
global_step=6936, episodic_return=[0.955]
global_step=6956, episodic_return=[0.955]
global_step=6960, episodic_return=[0.946]
global_step=6964, episodic_return=[0.937]
global_step=6976, episodic_return=[0.955]
global_step=6984, episodic_return=[0.946]

global_step=6996, episodic_return=[0.955]
global_step=7008, episodic_return=[0.955]
global_step=7016, episodic_return=[0.955]
global_step=7028, episodic_return=[0.955]
global_step=7032, episodic_return=[0.946]
global_step=7036, episodic_return=[0.955]
global_step=7040, episodic_return=[0.946]
global_step=7048, episodic_return=[0.955]
global_step=7052, episodic_return=[0.955]
global_step=7056, episodic_return=[0.955]
global_step=7060, episodic_return=[0.955]
global_step=7068, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-120.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-120.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-120.mp4
global_step=7072, episodic_return=[0.955]
global_step=7080, episodic_return=[0.955]
global_step=7084, episodic_return=[0.937]
global_step=7088, episodic_return=[0.955]
global_step=7096, episodic_return=[0.946]
global_step=7100, episodic_return=[0.955]
global_step=7104, episodic_return=[0.955]
global_step=7112, episodic_return=[0.946]
global_step=7116, episodic_return=[0.955]
global_step=7120, episodic_return=[0.955]
global_step=7128, episodic_return=[0.946]
global_step=7136, episodic_return=[0.955]
global_step=7144, episodic_return=[0.946]
global_step=7148, episodic_return=[0.955]
global_step=7152, episodic_return=[0.91]
global_step=7160, episodic_return=[0.946]
global_step=7164, episodic_return=[0.955]
global_step=7168, episodic_return=[0.955]
SPS:  318
global_step=7172, episodic_return=[0.955]
global_step=7180, episodic_return=[0.955]
global_step=7184, episodic_return=[0.955]
global_step=7192, episodic_return=[0.955]
global_step=7204, episodic_return=[0.946]
global_step=7208, episodic_return=[0.946]
global_step=7220, episodic_return=[0.937]
global_step=7224, episodic_return=[0.955]
global_step=7228, episodic_return=[0.955]
global_step=7240, episodic_return=[0.955]
global_step=7244, episodic_return=[0.955]
global_step=7248, episodic_return=[0.946]
global_step=7260, episodic_return=[0.955]
global_step=7264, episodic_return=[0.955]
global_step=7268, episodic_return=[0.955]
global_step=7280, episodic_return=[0.955]
global_step=7284, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-130.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-130.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-130.mp4
global_step=7288, episodic_return=[0.955]
global_step=7300, episodic_return=[0.955]
global_step=7304, episodic_return=[0.955]
global_step=7308, episodic_return=[0.955]
global_step=7320, episodic_return=[0.955]
global_step=7324, episodic_return=[0.955]
global_step=7328, episodic_return=[0.955]
global_step=7340, episodic_return=[0.955]
global_step=7344, episodic_return=[0.955]
global_step=7348, episodic_return=[0.955]
global_step=7360, episodic_return=[0.955]
global_step=7364, episodic_return=[0.955]
global_step=7372, episodic_return=[0.946]
global_step=7380, episodic_return=[0.928]
global_step=7384, episodic_return=[0.955]
global_step=7392, episodic_return=[0.955]
global_step=7400, episodic_return=[0.955]
global_step=7404, episodic_return=[0.955]
global_step=7416, episodic_return=[0.946]
global_step=7420, episodic_return=[0.955]
global_step=7424, episodic_return=[0.955]
global_step=7436, episodic_return=[0.955]
global_step=7444, episodic_return=[0.955]
global_step=7456, episodic_return=[0.955]
global_step=7464, episodic_return=[0.955]
global_step=7468, episodic_return=[0.946]
global_step=7476, episodic_return=[0.955]
global_step=7484, episodic_return=[0.955]
global_step=7488, episodic_return=[0.955]
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-140.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-140.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-140.mp4
global_step=7496, episodic_return=[0.955]
global_step=7504, episodic_return=[0.955]
global_step=7508, episodic_return=[0.955]
global_step=7516, episodic_return=[0.955]
global_step=7524, episodic_return=[0.955]
global_step=7528, episodic_return=[0.946]
global_step=7536, episodic_return=[0.955]
global_step=7544, episodic_return=[0.955]
global_step=7548, episodic_return=[0.955]
global_step=7552, episodic_return=[0.946]
global_step=7556, episodic_return=[0.955]
global_step=7568, episodic_return=[0.955]
global_step=7576, episodic_return=[0.955]
global_step=7588, episodic_return=[0.955]
global_step=7596, episodic_return=[0.955]
global_step=7608, episodic_return=[0.955]
global_step=7612, episodic_return=[0.946]
global_step=7616, episodic_return=[0.955]
global_step=7632, episodic_return=[0.955]
global_step=7636, episodic_return=[0.955]
global_step=7652, episodic_return=[0.955]
global_step=7656, episodic_return=[0.955]
global_step=7660, episodic_return=[0.946]
global_step=7672, episodic_return=[0.955]
global_step=7676, episodic_return=[0.955]
global_step=7680, episodic_return=[0.955]
SPS:  312
Moviepy - Building video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-150.mp4.
Moviepy - Writing video D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-150.mp4
Moviepy - Done !
Moviepy - video ready D:\Masters\Projects\thesis\cognitive-PPO\videos\MiniGrid-Empty-5x5-v0__playground__1__1682946950\rl-video-episode-150.mp4
global_step=7696, episodic_return=[0.955]
global_step=7704, episodic_return=[0.946]
global_step=7716, episodic_return=[0.955]
global_step=7728, episodic_return=[0.946]
global_step=7736, episodic_return=[0.955]
global_step=7740, episodic_return=[0.946]
global_step=7752, episodic_return=[0.946]
global_step=7756, episodic_return=[0.955]
global_step=7760, episodic_return=[0.955]
global_step=7772, episodic_return=[0.955]
global_step=7780, episodic_return=[0.955]
global_step=7784, episodic_return=[0.937]
global_step=7792, episodic_return=[0.955]
global_step=7800, episodic_return=[0.955]
global_step=7804, episodic_return=[0.955]
global_step=7812, episodic_return=[0.955]
global_step=7820, episodic_return=[0.955]
global_step=7824, episodic_return=[0.955]
global_step=7832, episodic_return=[0.955]
global_step=7844, episodic_return=[0.946]
global_step=7852, episodic_return=[0.955]
global_step=7864, episodic_return=[0.955]
global_step=7872, episodic_return=[0.955]
global_step=7884, episodic_return=[0.955]
global_step=7888, episodic_return=[0.946]
